age,gamma
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0385957
21,0.0385957
22,0.0385957
23,0.0385957
24,0.0385957
25,0.0385957
26,0.0385957
27,0.0385957
28,0.0385957
29,0.0385957
30,0.0385957
31,0.0385957
32,0.0385957
33,0.0385957
34,0.0385957
35,0.0385957
36,0.0385957
37,0.0385957
38,0.0385957
39,0.0385957
40,0.0385957
41,0.0385957
42,0.0385957
43,0.0385957
44,0.0385957
45,0.0385957
46,0.0385957
47,0.0385957
48,0.0385957
49,0.0385957
50,0.0385957
51,0.0385957
52,0.0385957
53,0.0385957
54,0.0385957
55,0.0385957
56,0.0385957
57,0.0385957
58,0.0385957
59,0.0385957
60,0.0385957
61,0.0385957
62,0.0385957
63,0.0385957
64,0.0385957
65,0.0385957
66,0.0385957
67,0.0385957
68,0.0385957
69,0.0385957
70,0.0385957
71,0.0385957
72,0.0385957
73,0.0385957
74,0.0385957
75,0.0385957
76,0.0385957
77,0.0385957
78,0.0385957
79,0.0385957
80,0.0385957
81,0.0385957
82,0.0385957
83,0.0385957
84,0.0385957
85,0.0385957
86,0.0385957
87,0.0385957
88,0.0385957
89,0.0385957
90,0.0385957
91,0.0385957
92,0.0385957
93,0.0385957
94,0.0385957
95,0.0385957
96,0.0385957
97,0.0385957
98,0.0385957
99,0.0385957
100,0.0385957
101,0.0385957
102,0.0385957
103,0.0385957
104,0.0385957
105,0.0385957
106,0.0385957
107,0.0385957
108,0.0385957
109,0.0385957
110,0.0385957
