year,price
2011,14.461652342953
2012,15.3575934147308
2013,16.3414581808477
2014,17.4218130524498
2015,18.6080547711379
2016,19.9104908349841
2017,21.3404277272065
2018,22.9102677022142
2019,24.6336149563607
2020,26.5253920904264
2021,28.60196785828
2022,30.8812972920908
2023,33.3830753996904
2024,36.1289057451124
2025,39.1424853499433
2026,42.4498074919695
2027,46.0793841298765
2028,50.0624898497265
2029,54.4334294120313
2030,59.2298311789788
2031,64.4929689214702
2032,64.4929689214702
2033,64.4929689214702
2034,64.4929689214702
2035,64.4929689214702
2036,64.4929689214702
2037,64.4929689214702
2038,64.4929689214702
2039,64.4929689214702
2040,64.4929689214702
2041,64.4929689214702
2042,64.4929689214702
2043,64.4929689214702
2044,64.4929689214702
2045,64.4929689214702
2046,64.4929689214702
2047,64.4929689214702
2048,64.4929689214702
2049,64.4929689214702
2050,64.4929689214702
2051,64.4929689214702
2052,64.4929689214702
2053,64.4929689214702
2054,64.4929689214702
2055,64.4929689214702
2056,64.4929689214702
2057,64.4929689214702
2058,64.4929689214702
2059,64.4929689214702
2060,64.4929689214702
2061,64.4929689214702
2062,64.4929689214702
2063,64.4929689214702
2064,64.4929689214702
2065,64.4929689214702
2066,64.4929689214702
2067,64.4929689214702
2068,64.4929689214702
2069,64.4929689214702
2070,64.4929689214702
2071,64.4929689214702
2072,64.4929689214702
2073,64.4929689214702
2074,64.4929689214702
2075,64.4929689214702
2076,64.4929689214702
2077,64.4929689214702
2078,64.4929689214702
2079,64.4929689214702
2080,64.4929689214702
2081,64.4929689214702
2082,64.4929689214702
2083,64.4929689214702
2084,64.4929689214702
2085,64.4929689214702
2086,64.4929689214702
2087,64.4929689214702
2088,64.4929689214702
2089,64.4929689214702
2090,64.4929689214702
2091,64.4929689214702
2092,64.4929689214702
2093,64.4929689214702
2094,64.4929689214702
2095,64.4929689214702
2096,64.4929689214702
2097,64.4929689214702
2098,64.4929689214702
2099,64.4929689214702
2100,64.4929689214702
2101,64.4929689214702
2102,64.4929689214702
2103,64.4929689214702
2104,64.4929689214702
2105,64.4929689214702
2106,64.4929689214702
2107,64.4929689214702
2108,64.4929689214702
2109,64.4929689214702
2110,64.4929689214702
2111,64.4929689214702
2112,64.4929689214702
2113,64.4929689214702
2114,64.4929689214702
2115,64.4929689214702
2116,64.4929689214702
2117,64.4929689214702
2118,64.4929689214702
2119,64.4929689214702
2120,64.4929689214702
2121,64.4929689214702
